cruise,ship,haul,collection,start_latitude,start_longitude,stop_latitude,stop_longitude,equilibrium_time,haulback_time,surface_temp,surface_temp_method,ship_spd_through_water,itis_tsn,scientific_name,subsample_count,subsample_weight,remaining_weight,presence_only
200307,FR,22,2024,48,-124.9648,47.9975,-124.9143,2003-07-14T21:25:00-08,2003-07-14T21:55:00-08,15.4,bucket,3.4,161729,"Sardinops sagax",50,9.738,2101,N
200307,FR,22,2024,48,-124.9648,47.9975,-124.9143,2003-07-14T21:25:00-08,2003-07-14T21:55:00-08,15.4,bucket,3.4,168586,"Trachurus symmetricus",NA,22.6,NA,N
200307,FR,22,2024,48,-124.9648,47.9975,-124.9143,2003-07-14T21:25:00-08,2003-07-14T21:55:00-08,15.4,bucket,3.4,551209,"Clupea pallasii",NA,113,NA,N
200307,FR,23,2025,44.8683,-124.23,44.8916,-124.224,2003-07-17T20:23:00-08,2003-07-17T20:53:00-08,15.9,bucket,3.6,51483,Scyphozoa,NA,0.1,NA,N
200307,FR,23,2025,44.8683,-124.23,44.8916,-124.224,2003-07-17T20:23:00-08,2003-07-17T20:53:00-08,15.9,bucket,3.6,161729,"Sardinops sagax",22,3.984,NA,N
200307,FR,23,2025,44.8683,-124.23,44.8916,-124.224,2003-07-17T20:23:00-08,2003-07-17T20:53:00-08,15.9,bucket,3.6,161828,"Engraulis mordax",NA,46.9,NA,N
200307,FR,23,2025,44.8683,-124.23,44.8916,-124.224,2003-07-17T20:23:00-08,2003-07-17T20:53:00-08,15.9,bucket,3.6,168586,"Trachurus symmetricus",35,24,NA,N
200307,FR,24,2026,44.8731,-124.2301,44.8215,-124.2556,2003-07-17T21:33:00-08,2003-07-17T22:03:00-08,15.6,TSG,3.4,161729,"Sardinops sagax",50,7.986,357.914,N
200307,FR,24,2026,44.8731,-124.2301,44.8215,-124.2556,2003-07-17T21:33:00-08,2003-07-17T22:03:00-08,15.6,TSG,3.4,168586,"Trachurus symmetricus",50,30,NA,N
200307,FR,24,2026,44.8731,-124.2301,44.8215,-124.2556,2003-07-17T21:33:00-08,2003-07-17T22:03:00-08,15.6,TSG,3.4,551209,"Clupea pallasii",NA,0.3,NA,N
200307,FR,25,2027,44.8098,-124.2875,44.7745,-124.3123,2003-07-18T23:06:00-08,2003-07-18T23:36:00-08,16.1,bucket,3.4,161729,"Sardinops sagax",50,8.426,150.665,N
